iter	RMSE
0	7.602461774
1	6.756763882
2	6.291530019
3	6.08220113
4	5.912096775
5	5.767652078
6	5.734396905
7	5.652760673
8	5.549858774
9	5.489526709
10	5.47295669
11	5.453565165
12	5.390742623
13	5.368946967
14	5.338471864
15	5.29853085
16	5.284777737
17	5.268640862
18	5.257802484
19	5.235220585
20	5.209730642
21	5.177067393
22	5.16391051
23	5.14872716
24	5.091696107
25	5.077508962
26	5.05984503
27	5.037717567
28	5.008867083
29	4.977313772
30	4.969485817
31	4.95976117
32	4.953472458
33	4.940519369
34	4.927539427
35	4.917565083
36	4.893571893
37	4.866833008
38	4.85500492
39	4.836743177
40	4.830519647
41	4.819107239
42	4.799931313
43	4.794539409
44	4.787051698
45	4.773956704
46	4.754378201
47	4.748679751
48	4.727256759
49	4.717110748
50	4.710302157
51	4.691286882
52	4.681709741
53	4.671867512
54	4.667106546
55	4.65888433
56	4.642718621
57	4.636978193
58	4.627358564
59	4.618897268
60	4.606354806
61	4.600131989
62	4.589801804
63	4.582210677
64	4.576327292
65	4.572074369
66	4.566219244
67	4.562559965
68	4.555331828
69	4.550874503
70	4.543987777
71	4.529303891
72	4.519889732
73	4.509399156
74	4.5006274
75	4.492775952
76	4.486513341
77	4.476060956
78	4.466441343
79	4.459828849
80	4.451659066
81	4.445033556
82	4.442402491
83	4.439187814
84	4.41899223
85	4.414863335
86	4.410834028
87	4.404068471
88	4.399358548
89	4.393509393
90	4.381646991
91	4.376946696
92	4.373562076
93	4.36135966
94	4.357051209
95	4.353621178
96	4.349673621
97	4.346396163
98	4.34277858
99	4.33959185
100	4.330452246
101	4.329421474
102	4.326569049
103	4.32437272
104	4.320196096
105	4.307002588
106	4.302570615
107	4.29983573
108	4.296722248
109	4.295525333
110	4.291946074
111	4.288073092
112	4.281333604
113	4.274096847
114	4.271844514
115	4.269570857
116	4.263354674
117	4.260917376
118	4.258142388
119	4.255604326
120	4.253757267
121	4.242177127
122	4.23873627
123	4.236273619
124	4.232922301
125	4.230132494
126	4.224516924
127	4.221363218
128	4.216379347
129	4.203082002
130	4.200732738
131	4.190925676
132	4.18457021
133	4.179717598
134	4.171005058
135	4.156944414
136	4.149331408
137	4.14173713
138	4.138143486
139	4.132558726
140	4.129483027
141	4.125245765
142	4.122491785
143	4.120508436
144	4.116103859
145	4.113070017
146	4.110236112
147	4.104532774
148	4.100473789
149	4.094022477
150	4.08623807
151	4.083271324
152	4.08079669
153	4.079966069
154	4.074202303
155	4.070145148
156	4.067744282
157	4.061954556
158	4.060041967
159	4.058928706
160	4.054140618
161	4.052571622
162	4.049551846
163	4.04783022
164	4.043167181
165	4.035070172
166	4.031311036
167	4.025809371
168	4.021116295
169	4.019001814
170	4.017773531
171	4.013532894
172	4.010973503
173	4.008276981
174	4.005838142
175	4.000849572
176	3.997452002
177	3.993912208
178	3.991408196
179	3.989172816
180	3.986386046
181	3.984471127
182	3.979593749
183	3.975045833
184	3.972456552
185	3.969949428
186	3.966259009
187	3.961972187
188	3.959391742
189	3.957517788
190	3.955471617
191	3.951577186
192	3.948445908
193	3.94553958
194	3.944064692
195	3.938152643
196	3.930891753
197	3.930078072
198	3.92787937
199	3.923402544
200	3.922254289
201	3.920603815
202	3.916697027
203	3.912015257
204	3.909555161
205	3.907132613
206	3.90432545
207	3.902168919
208	3.897339477
209	3.89534903
210	3.892313274
211	3.890501831
212	3.886533062
213	3.88240314
214	3.880552265
215	3.879986138
216	3.87724541
217	3.875023945
218	3.873431198
219	3.872472954
220	3.867092294
221	3.865784107
222	3.863598573
223	3.861849119
224	3.86084476
225	3.856270077
226	3.852468552
227	3.849684629
228	3.848515534
229	3.847384379
230	3.845744056
231	3.84464398
232	3.840006026
233	3.837438946
234	3.83410408
235	3.828160217
236	3.826383417
237	3.824363496
238	3.82013869
239	3.818716058
240	3.814654078
241	3.811825591
