iter	Passed	Remaining
0	16	16630
1	30	15044
2	42	14261
3	54	13446
4	63	12702
5	74	12374
6	85	12124
7	97	12043
8	120	13235
9	187	18593
10	237	21334
11	258	21266
12	274	20871
13	298	21039
14	329	21615
15	411	25318
16	471	27236
17	505	27577
18	543	28064
19	573	28101
20	630	29391
21	680	30244
22	832	35364
23	889	36188
24	923	36003
25	949	35584
26	971	35003
27	1231	42745
28	1268	42486
29	1541	49831
30	1626	50841
31	1702	51497
32	1735	50861
33	1776	50467
34	1827	50387
35	1933	51780
36	2008	52275
37	2033	51481
38	2068	50958
39	2092	50223
40	2132	49875
41	2211	50438
42	2249	50053
43	2291	49790
44	2386	50642
45	2409	49966
46	2474	50164
47	2506	49710
48	2523	48983
49	2548	48430
50	2581	48045
51	2601	47435
52	2614	46721
53	2630	46078
54	2648	45498
55	2666	44953
56	2684	44418
57	2702	43896
58	2723	43443
59	2739	42913
60	2752	42371
61	2779	42053
62	2794	41564
63	2830	41399
64	2849	40986
65	2868	40592
66	2889	40232
67	2923	40068
68	2947	39770
69	2967	39418
70	3034	39699
71	3058	39419
72	3082	39149
73	3099	38790
74	3122	38509
75	3171	38555
76	3191	38256
77	3238	38279
78	3262	38036
79	3297	37916
80	3328	37769
81	3366	37683
82	3397	37539
83	3423	37337
84	3449	37128
85	3466	36839
86	3490	36629
87	3510	36386
88	3527	36108
89	3554	35936
90	3578	35746
91	3600	35533
92	3622	35326
93	3647	35155
94	3672	34984
95	3695	34802
96	3716	34600
97	3737	34404
98	3760	34223
99	3789	34107
100	3806	33878
101	3821	33640
102	3836	33412
103	3851	33185
104	3870	32987
105	3889	32805
106	3907	32610
107	3927	32438
108	3944	32241
109	3962	32060
110	3986	31928
111	3999	31709
112	4013	31505
113	4035	31360
114	4053	31194
115	4073	31039
116	4088	30858
117	4105	30686
118	4121	30509
119	4137	30342
120	4153	30172
121	4175	30052
122	4196	29924
123	4212	29759
124	4226	29586
125	4242	29431
126	4258	29275
127	4278	29144
128	4291	28972
129	4305	28815
130	4323	28680
131	4340	28539
132	4354	28386
133	4368	28229
134	4383	28089
135	4400	27957
136	4422	27861
137	4437	27716
138	4449	27562
139	4466	27437
140	4497	27401
141	4582	27688
142	4664	27954
143	4716	28038
144	4744	27976
145	4800	28080
146	4809	27907
147	4827	27792
148	4865	27786
149	4902	27779
150	4929	27714
151	4946	27598
152	4970	27515
153	4998	27460
154	5024	27389
155	5060	27377
156	5114	27461
157	5157	27484
158	5207	27545
159	5246	27545
160	5318	27718
161	5350	27678
162	5378	27619
163	5418	27623
164	5439	27524
165	5472	27494
166	5514	27506
167	5580	27636
168	5632	27694
169	5654	27607
170	5690	27588
171	5714	27508
172	5770	27584
173	5816	27610
174	5835	27508
175	5856	27417
176	5882	27353
177	5928	27379
178	5963	27352
179	6010	27382
180	6049	27372
181	6080	27329
182	6097	27220
183	6132	27197
184	6164	27157
185	6191	27097
186	6206	26984
187	6261	27042
188	6315	27101
189	6332	26995
190	6524	27636
191	6564	27627
192	6587	27546
193	6611	27470
194	6631	27376
195	6700	27487
196	6727	27422
197	6770	27422
198	6792	27339
199	6816	27264
200	6850	27229
201	6888	27211
202	6932	27218
203	6966	27184
204	6991	27114
205	7029	27095
206	7051	27012
207	7075	26941
208	7116	26931
209	7172	26983
210	7198	26916
211	7302	27143
212	7342	27130
213	7367	27058
214	7391	26986
215	7443	27017
216	7494	27042
217	7559	27117
218	7586	27053
219	7609	26978
220	7645	26950
221	7705	27004
222	7740	26971
223	7778	26945
224	7798	26860
225	7817	26771
226	7835	26682
227	7870	26648
228	7889	26562
229	7923	26527
230	7947	26457
231	7976	26406
232	8005	26352
233	8029	26283
234	8049	26204
235	8069	26122
236	8110	26110
237	8186	26210
238	8245	26255
239	8326	26366
240	8346	26285
241	8368	26211
242	8395	26154
243	8417	26081
244	8491	26167
245	8527	26137
246	8580	26159
247	8610	26110
248	8622	26004
249	8630	25890
250	8640	25782
251	8647	25667
252	8657	25561
253	8665	25450
254	8674	25344
255	8696	25275
256	8710	25183
257	8722	25086
258	8731	24980
259	8741	24880
260	8757	24795
261	8769	24701
262	8794	24644
